"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-23",,,"80","H,,S","85",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-24",,,"81","H,,S","86",",,S","73",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-25",,,"81","H,,S","86",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-26",,,"81","H,,S","86",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-27",,,"80","H,,S","88",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-28","0.01",",,S","81","H,,S","88",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-29","0.00",",,S","81","H,,S","88",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-30",,,"80","H,,S","87",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-01","0.16",",,S","78","H,,S","85",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-02","0.00",",,S","80","H,,S","87",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-03","0.00",",,S","80","H,,S","88",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-04","0.02",",,S","81","H,,S","88",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-05","0.00",",,S","82","H,,S","88",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-06",,,"81","H,,S","88",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-07","0.09",",,S","81","H,,S","88",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-08","0.00",",,S","82","H,,S","88",",,S","72",",,S"
